Titel,Sym,Kurs,Oel-Beta,Korrelation,Tagesvola %,20T %,Oel-Wirkung
APA Corp,APA,42.77000045776367,0.534825307340365,0.6178382948789324,2.3259671313191568,13.659312367130582,1.243986085871355
Occidental,OXY,60.040000915527344,0.44375364746355345,0.6694590075337076,2.0368750771732826,7.386873688761786,0.903870744923251
Diamondback,FANG,199.22000122070312,0.3915513237233997,0.6578181452270977,2.093925566510154,5.9455479332836125,0.8198793273453204
BP,BP,43.810001373291016,0.33934033244499934,0.6230454461139429,2.174558774226903,5.236608813938903,0.7379154973673474
Devon Energy,DVN,48.060001373291016,0.39499038588319857,0.6055186433855735,1.7236597697244276,11.819455293531544,0.6808290375747968
Antero Resources,AR,39.40999984741211,0.28385345102946713,0.4047924570816201,2.1965039161933477,13.540768904952172,0.6234852168112213
Halliburton,HAL,37.06999969482422,0.24520237451277374,0.36502719565251146,2.2110687695260527,16.243337736962204,0.542159312498825
Chevron,CVX,208.60000610351562,0.27156575093491503,0.6166440218082954,1.784193342953537,11.813898388372168,0.4845258049922536
Exxon Mobil,XOM,159.47000122070312,0.297610825464761,0.6199014385977742,1.3709268697665484,4.201521312503176,0.40800267736304335
TotalEnergies,TTE,88.58999633789062,0.23485786925426724,0.5051901272617266,1.3282018303697947,3.2156523918857927,0.31193865182026764
Shell,SHEL,92.94999694824219,0.21384300118170538,0.5061033305083849,1.2484039541596679,5.028245139256704,0.2669624482446115
Baker Hughes,BKR,63.5,0.06948567567390691,0.11341304020153896,1.5098538539794863,3.1681572495703803,0.10491321521261698
Intl Seaways,INSW,104.5,0.03561500831712672,0.04893434811538061,2.5123503902200963,13.082995194001757,0.0894773800432253
Teekay Tankers,TNK,93.37000274658203,0.03047169484070386,0.04075799045373742,2.6237389187484106,20.867317471303593,0.07994977167377988
Scorpio Tankers,STNG,82.3499984741211,0.0376422960920866,0.05595958394974016,1.945733778563551,8.24132031041447,0.07324188700906364
SLB (Schlumberger),SLB,57.5099983215332,0.03316029572709214,0.049229946324376155,1.8647234351388957,13.81357552119351,0.06183478055844491
Frontline (Tanker),FRO,46.119998931884766,-0.013035862255459156,-0.016288880373007734,2.7874433345143013,16.054345706973084,-0.03633672735362619
DHT Holdings (Tanker),DHT,20.8700008392334,-0.028809977024613607,-0.041183863485888685,3.168326145466898,11.247337871047169,-0.09127940345738392
