Titel,n Frieden,Frieden %,positiv %,bester %,Nachfrage %
Carnival,5,5.728703913289235,100.0,8.094604490744906,1.4464714385345405
United,5,4.559362861643024,100.0,7.1240706718138425,0.4610324187245422
Norwegian,5,4.307942904458644,80.0,7.650274932678225,0.7736367093238328
IAG,5,3.800574357146267,80.0,6.188501590122231,2.266244470895594
Royal Caribbean,5,3.8000859079435756,100.0,7.34348482153615,0.43947827117078764
TUI,5,3.775869331789674,80.0,10.54959325005802,2.6007644921035453
Lufthansa,5,3.6669527561857556,80.0,6.859105480773331,3.2876895211194794
American Air,5,3.53611968628754,100.0,4.3119292062157255,1.3212697498279655
Ryanair,5,3.3988649398829818,100.0,8.10386480415306,2.264645204393984
Delta,5,3.0126689528955497,100.0,4.841406087351419,0.13573880263756635
Southwest,5,2.687897416769671,80.0,5.094756683254609,0.10799974009680542
DAX,5,1.1593648258909428,80.0,2.2677770007153653,0.7974879352255875
S&P 500,5,0.9922630915033491,100.0,1.2040463669150903,-0.5093090669784189
DHL,5,0.18642738034968298,60.0,3.08388161764499,0.31223310104981794
Maersk,4,-0.46934363432898085,50.0,1.5674984005118464,-3.1732021470558043
Rheinmetall,5,-1.7020780690592718,0.0,-0.13358269204020168,2.0695881410746964
Exxon,5,-2.0951773168459265,20.0,0.9143901362874463,-3.336948185502474
Hensoldt,5,-2.239192258885432,20.0,0.07427278967615525,1.892427053140169
Occidental,5,-3.3208399459863576,0.0,-0.6588662777363585,-5.256187865441734
APA,5,-3.385300873088844,0.0,-0.2045559442755751,-6.991652730783961
