Symbol,Kurs,Waehr,1T %,5T %,20T %,Vola ann %,ATR %,RelVol,z. 52W-Hoch %,Tail p95 %,Score,Kurs EUR
AXTI,61.64,USD,9.7,5.1,-30.4,134.0,11.6,0.74,-56.2,18.6,69.03,53.04
AEHR,86.26,USD,13.1,6.7,-16.3,126.0,10.7,1.31,-40.8,15.2,63.9,74.23
CBRS,210.05,USD,10.3,17.3,-7.4,116.0,7.0,1.02,-32.5,15.5,56.31,180.75
NBIS,226.39,USD,7.5,8.2,20.4,144.0,6.8,0.55,-21.0,12.6,51.31,194.81
SNDK,1740.0,USD,11.9,17.2,43.5,90.0,6.3,0.98,-25.5,13.9,48.67,1497.29
IREN,44.68,USD,7.3,26.0,8.4,90.0,7.2,0.89,-41.5,12.7,46.63,38.45
BE,252.87,USD,7.4,20.0,15.3,79.0,6.3,0.83,-26.9,12.6,44.26,217.6
RGTI,15.2,USD,0.1,-2.5,-15.3,72.0,6.4,0.52,-73.0,12.5,43.43,13.08
ASTS,62.31,USD,0.3,7.3,-13.4,76.0,6.4,0.68,-53.2,12.2,43.25,53.62
LUNR,14.81,USD,0.7,-3.6,-9.7,70.0,6.3,0.47,-67.6,12.4,43.16,12.74
OKLO,41.27,USD,3.6,2.8,-14.8,80.0,6.6,0.76,-76.3,11.3,41.51,35.51
MARA,11.31,USD,-2.5,6.0,12.1,102.0,8.8,0.81,-50.5,9.3,40.39,9.73
SMTC,147.89,USD,9.2,12.7,6.1,98.0,7.5,0.66,-15.4,9.1,39.58,127.26
IONQ,39.52,USD,1.3,0.8,-11.1,72.0,6.4,0.9,-51.9,10.8,39.41,34.01
CRWV,89.36,USD,5.7,6.1,-1.4,92.0,5.6,0.6,-37.5,10.2,39.16,76.9
CLSK,12.69,USD,0.9,8.8,3.2,89.0,7.5,0.68,-45.3,9.5,38.61,10.92
ALAB,310.4,USD,9.8,7.2,-7.1,63.0,6.2,0.74,-35.7,10.8,38.18,267.1
RIOT,21.8,USD,3.1,14.8,6.2,91.0,7.4,0.85,-24.0,9.0,37.51,18.76
BLTE,193.61,USD,13.2,27.6,18.7,70.0,4.0,1.44,0.0,6.2,37.12,166.6
MSTR,142.8,USD,-1.4,12.2,42.8,106.0,7.1,1.13,-60.3,7.5,37.07,122.88
SMCI,39.59,USD,4.5,6.8,27.2,86.0,5.6,0.62,-32.5,9.3,36.21,34.07
UCTT,72.43,USD,8.8,4.2,-17.0,80.0,6.7,0.69,-49.2,9.1,36.14,62.33
ARM,252.09,USD,3.9,5.5,-10.8,51.0,5.6,0.47,-42.6,10.6,36.07,216.93
TTMI,125.6,USD,8.8,5.9,-8.5,79.0,6.5,0.58,-43.3,9.0,35.61,108.08
TSEM,222.34,USD,7.8,6.9,-11.9,65.0,5.6,0.77,-29.8,9.8,35.41,191.33
COIN,184.64,USD,-4.2,3.4,20.2,84.0,7.2,1.09,-52.3,7.6,34.51,158.88
FORM,103.9,USD,7.4,2.2,-11.5,80.0,7.2,0.7,-35.0,8.3,34.42,89.41
MU,1016.59,USD,6.1,9.0,15.8,54.0,4.6,0.62,-16.2,9.5,33.82,874.79
AFRM,72.35,USD,-2.6,-7.0,-3.9,56.0,5.9,1.52,-21.5,6.3,33.81,62.26
SIMO,256.21,USD,8.7,4.2,0.0,87.0,6.3,0.7,-24.0,8.0,33.8,220.47
COHU,50.72,USD,10.3,5.7,-4.1,81.0,6.7,0.82,-31.4,6.7,30.17,43.65
VAC,106.62,USD,7.5,-3.2,-13.6,58.0,4.6,1.39,-14.5,5.3,30.09,91.75
EQPT,19.55,USD,7.8,10.4,-4.4,68.0,5.4,0.79,-43.5,7.5,30.0,16.82
WAF.DE,78.05,EUR,3.9,-3.8,-0.1,53.0,4.8,0.49,-25.5,7.9,28.99,78.05
AIXA.DE,36.15,EUR,2.0,-1.2,-9.9,45.0,4.1,0.76,-40.2,8.2,28.32,36.15
AMD,477.57,USD,4.7,2.6,-1.2,46.0,3.9,0.58,-17.8,7.9,28.0,410.95
TARS,90.78,USD,9.1,26.5,40.1,56.0,3.7,1.1,0.0,5.0,27.51,78.12
BOBS,17.64,USD,7.4,1.9,-1.3,47.0,4.7,0.5,-21.7,7.6,27.44,15.18
RIVN,15.74,USD,-1.1,-2.1,-1.6,47.0,4.2,0.56,-29.9,7.4,26.57,13.54
AVGO,357.9,USD,0.2,-3.0,-16.3,35.0,3.2,1.45,-25.7,4.7,24.64,307.98
KLAC,185.6,USD,7.3,5.7,-6.3,48.0,4.1,0.71,-38.5,6.5,24.37,159.71
VBK.DE,30.22,EUR,0.9,-4.3,1.8,38.0,4.2,0.89,-34.0,6.9,24.3,30.22
TSLA,354.08,USD,-5.9,1.5,7.8,51.0,4.3,1.26,-27.7,4.6,23.97,304.69
PLTR,174.33,USD,-4.5,-6.4,1.3,54.0,4.7,0.76,-15.9,5.3,23.37,150.01
SDF.DE,16.83,EUR,0.0,3.1,16.6,30.0,2.9,1.46,-7.8,3.2,23.24,16.83
SOFI,18.22,USD,-1.6,0.9,-0.9,53.0,5.0,0.55,-43.4,5.0,21.85,15.68
COK.DE,22.4,EUR,-0.4,2.1,-10.0,38.0,2.4,1.54,-22.8,3.2,21.71,22.4
NVDA,230.36,USD,0.8,5.9,2.9,46.0,3.3,0.98,-2.3,3.9,21.46,198.23
TMV.DE,6.86,EUR,-0.7,-4.5,4.9,46.0,3.5,0.94,-26.0,5.1,20.1,6.86
EVT.DE,3.21,EUR,-1.9,-4.1,-7.3,51.0,3.5,1.02,-55.1,4.4,19.23,3.21
PNE3.DE,7.34,EUR,3.1,0.3,-29.3,75.0,2.9,0.56,-47.2,3.0,17.34,7.34
NDA.DE,174.0,EUR,0.0,-2.7,0.2,34.0,3.4,0.84,-20.6,4.2,16.65,174.0
RHM.DE,1034.0,EUR,-3.4,-10.4,-9.8,33.0,3.5,0.68,-48.0,3.6,15.1,1034.0
NA9.DE,78.3,EUR,-0.1,0.1,0.0,2.0,0.3,0.39,-2.4,3.7,14.16,78.3
SHL.DE,39.0,EUR,0.5,-1.3,-1.3,16.0,1.7,0.87,-21.3,2.1,8.04,39.0
