Id,ProductClassificationId,Isin,IsSecondaryMarket,Code,ExchangeCode,AssetId,AssetName,AssetCurrency,Currency,Status,FollowCode,IsSiat,AssetNMP,AssetIsin,AssetNMPExchangeCode,AssetDecimalPlaces,AssetRic,MarketingAssetNMPExchangeCode,MarketingAssetNMP,MarketingAssetId,MarketingAssetISIN,MarketingAssetRic,MigratedToOneFlow,MaturityDate,AssetCurrencyRaw,TodayBarrierHitDate,IssueDate,Venue,IsPanther,EsgEligible,FkAssetType,PutOrCall,Ratio,Strike,BarrierTurboCertificate,CurrentLeverage,IsQuanto,Bid,Offer,BrokerLinks,RatioSuffix,StrikeSuffix,BarrierTurboCertificateSuffix,CurrentLeverageDecimalPlaces,_asset_name,_typ,_spot
4105416,47,DE000SU8XKC3,False,SU8XKC,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2024-02-22T00:00:00,,False,,1,Call,1.0,85.305431,85.305431,1.58556291379678,False,125.13,125.15,,:1, USD, USD,1,NVIDIA,turbo,218.13013
4105423,47,DE000SU8XKQ3,False,SU8XKQ,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2024-02-22T00:00:00,,False,,1,Call,1.0,87.056329,87.056329,1.60341612233356,False,123.73,123.75,,:1, USD, USD,1,NVIDIA,turbo,218.13013
3904874,47,DE000SU3PQW5,False,SU3PQW,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2023-12-06T00:00:00,,False,,1,Call,1.0,58.615107,58.615107,1.33801996518279,False,148.29,148.31,,:1, USD, USD,1,NVIDIA,turbo,218.13013
6543771,47,DE000FC7HB94,False,FC7HB9,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2026-04-07T00:00:00,,False,,1,Call,10.0,178.423955,178.423955,4.40968793786447,False,4.51,4.52,,:1, USD, USD,1,NVIDIA,turbo,218.13013
6544552,47,DE000FC7HBV4,False,FC7HBV,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2026-04-07T00:00:00,,False,,1,Call,10.0,179.895872,179.895872,4.53974081489142,False,4.38,4.39,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5351494,47,DE000SX3TV65,False,SX3TV6,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-04-23T00:00:00,,False,,1,Call,10.0,112.061821,112.061821,1.94121370020068,False,10.22,10.23,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5504213,47,DE000SX4ZPN0,False,SX4ZPN,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-06-02T00:00:00,,False,,1,Call,10.0,151.900631,151.900631,2.93659083508916,False,6.77,6.78,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5420535,47,DE000SX4EQX2,False,SX4EQX,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-05-12T00:00:00,,False,,1,Call,10.0,135.04969,135.04969,2.41079545198518,False,8.23,8.24,,:1, USD, USD,1,NVIDIA,turbo,218.13013
6593458,47,DE000FE39113,False,FE3911,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2026-04-22T00:00:00,,False,,1,Put,10.0,240.052711,240.052711,20.2035688228179,False,0.94,0.95,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5420338,47,DE000SX4EPU0,False,SX4EPU,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-05-12T00:00:00,,False,,1,Call,10.0,134.213708,134.213708,2.3876235705244,False,8.31,8.32,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5420289,47,DE000SX4EPP0,False,SX4EPP,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-05-12T00:00:00,,False,,1,Call,10.0,133.025751,133.025751,2.35945502507274,False,8.41,8.42,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5344228,47,DE000SX3R620,False,SX3R62,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-04-22T00:00:00,,False,,1,Call,10.0,109.790195,109.790195,1.90527697943118,False,10.42,10.43,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5344220,47,DE000SX3R6Z0,False,SX3R6Z,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-04-22T00:00:00,,False,,1,Call,10.0,109.443854,109.443854,1.89984353156981,False,10.44,10.45,,:1, USD, USD,1,NVIDIA,turbo,218.13013
7026036,47,DE000FG6N1B5,False,FG6N1B,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2026-08-27T00:00:00,,False,,1,Call,10.0,210.974465,210.974465,11.578276215597,False,1.73,1.74,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5296586,47,DE000SX3DYU6,False,SX3DYU,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-04-09T00:00:00,,False,,1,Call,10.0,102.790917,102.790917,1.80126955205911,False,11.02,11.03,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5296456,47,DE000SX3DYP6,False,SX3DYP,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-04-09T00:00:00,,False,,1,Call,10.0,104.4879,104.4879,1.82483953544041,False,10.87,10.88,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5296593,47,DE000SX3DY86,False,SX3DY8,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-04-09T00:00:00,,False,,1,Call,10.0,105.171139,105.171139,1.83467542045034,False,10.81,10.82,,:1, USD, USD,1,NVIDIA,turbo,218.13013
3980836,47,DE000SU4M887,False,SU4M88,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2024-01-05T00:00:00,,False,,1,Call,1.0,61.657273,61.657273,1.36214244800298,False,145.64,145.66,,:1, USD, USD,1,NVIDIA,turbo,218.13013
4263467,47,DE000SW6BVT2,False,SW6BVT,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2024-04-23T00:00:00,,False,,1,Call,1.0,97.035704,97.035704,1.72364446719711,False,115.2,115.22,,:1, USD, USD,1,NVIDIA,turbo,218.13013
6665058,47,DE000FE5F8D2,False,FE5F8D,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2026-05-14T00:00:00,,False,,1,Put,10.0,266.611286,266.611286,6.1471122049489,False,3.18,3.19,,:1, USD, USD,1,NVIDIA,turbo,218.13013
6532262,47,DE000FC7B5B8,False,FC7B5B,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2026-04-01T00:00:00,,False,,1,Call,10.0,173.585386,173.585386,4.039372646107,False,4.93,4.94,,:1, USD, USD,1,NVIDIA,turbo,218.13013
5523373,47,DE000SX48CQ0,False,SX48CQ,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2025-06-06T00:00:00,,False,,1,Call,10.0,156.382624,156.382624,3.10255241926259,False,6.41,6.42,,:1, USD, USD,1,NVIDIA,turbo,218.13013
4023929,47,DE000SU458X7,False,SU458X,CBDE,320,NVIDIA,USD,EUR,65,,False,USD_NVDA,US67066G1040,CBUL,3,NVDA.OQ,,,,,,False,,USD,,2024-01-24T00:00:00,,False,,1,Call,1.0,75.336295,75.336295,1.48231047407498,False,133.83,133.85,,:1, USD, USD,1,NVIDIA,turbo,218.13013
