Basiswert,WKN,Richtung,Hebel,Brief,Stueck,Einsatz,Spread %,KO-Abstand %,KO in Sigma,Vola typisch %,Sprungtage/Jahr,groesster Tag %,Sleeve-Tagesvola %
Advanced Micro Devices (AMD),FG619W,Long,22.4797157175551,1.84,10869,19998.96,1.630434782608697,3.907274338634363,0.8581520323188202,4.553126009707723,15.0597609561753,23.708027557556832,102.35297832443564
Microsoft,FG6N4H,Long,40.3693485601781,1.06,18867,19999.02,0.0,2.1913241997450466,1.0568405936764664,2.0734670988762973,2.00796812749004,15.506733300956487,83.70451604259853
Coinbase Global,FG6YNM,Long,13.1579444562406,1.21,16528,19998.88,2.4793388429752086,6.682461138883365,1.394571684227325,4.791765969768591,14.055776892430279,16.464676156554383,63.049790477519
NVIDIA,FG6WQ3,Long,18.8574056942049,1.06,18867,19999.02,0.0,4.866746586032809,1.7400720694777703,2.7968649525495892,1.00398406374502,8.73795275466771,52.741617082130745
Tesla,FG3PDW,Long,19.0603377018854,1.6,12499,19998.4,0.0,4.577081642113064,1.7171689735895248,2.6654812150170946,2.00796812749004,14.523677416617442,50.80497209625763
Micron Technology,FG1859,Short,8.82506220805047,1.0,20000,20000.0,0.0,9.738735198300548,1.8311026180829453,5.3185086964139785,28.111553784860558,19.291611835261314,46.93617009991077
DAX 40,FG6MTR,Short,66.4592576523673,3.87,5167,19996.29,0.7751937984496188,1.295402789893529,1.9022775821806668,0.6809746390474466,0.0,5.05654722698492,45.257068991182074
Palantir Technologies,FG554B,Long,12.4357789533439,1.21,16528,19998.88,2.4793388429752086,7.536755933794051,2.269360193423234,3.3210928594042057,6.0239043824701195,29.454836201182122,41.300376683079534
Broadcom,FG4CF8,Long,12.5495888506447,2.48,8064,19998.72,2.4193548387096793,7.615062746761343,3.2043739443697667,2.376458827516483,5.0199203187251,12.586859324621802,29.823581205817028
CrowdStrike Holdings,FG6V6Z,Short,9.67884845264488,1.89,10582,19999.98,1.5873015873015772,9.071802044162586,3.206997359979042,2.8287525762795984,7.027888446215139,20.49900387962671,27.37906749583901
