Basiswert,Yahoo,Produkte,Kurs EUR,Tagesvola %,engster KO %,in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
ASML,ASML.AS,731,1479.069452,2.0480829333147366,9.528756260189462,4.652524614697887,9.06397385931611,1.9230769230769247,18.563770169276232,FG6BZH
Adyen,ADYEN.AS,198,1037.1578895,4.1524352792604144,23.18541197386321,5.5835697403073645,4.08040433529795,1.9762845849802302,16.943614915538348,FG3R34
Anheuser-Busch-InBev (AB InBev),ABI.BR,61,69.435381,1.3171647429646125,7.334983875151469,5.568767243679961,11.697050711533,1.7241379310344844,15.406942793900402,FG5X39
Deutz,DEZ.DE,382,12.783654,3.4183934851304714,22.781678853323157,6.664440168289649,4.13101565697944,1.9292604501607735,14.121437008790494,FE02H2
CSG,CSG.AS,72,16.7165315,2.368160463838817,17.14314659114542,7.239013932086413,5.23175609042878,1.8987341772151913,12.389637929801376,FG6RTE
BMW,BMW.DE,209,62.786069,1.7623617287049544,15.546622292916595,8.821470666150248,6.16618934642921,1.960784313725492,10.867056116095055,FE6793
Allianz,ALV.DE,1378,450.8283285,0.8607070759891672,7.2714140677608246,8.448186695112453,12.5569027641105,1.9662921348314562,10.80781506157784,FG235B
Commerzbank,CBK.DE,989,41.956186,1.3267359176563793,11.854159002917953,8.934829339555234,8.06221184591924,1.960784313725492,10.696426031735793,FG5V5Y
AUTO1 Group,AG1.DE,102,22.193900999999997,2.4206226927583643,21.603606324097793,8.924813598058071,4.23557076951433,1.9230769230769247,10.252718721470394,FC5GHC
Bilfinger,GBF.DE,74,83.127878,2.495966823907095,23.596529193250916,9.45386331550424,3.9943125073354,1.932367149758456,9.969671502626325,FE4GYQ
ArcelorMittal,MT.AS,69,68.196769,1.501434256591608,13.165396442755226,8.768546731204783,6.62519654339803,1.980198019801982,9.947297046910112,FG3XHH
Beiersdorf,BEI.DE,91,76.203264,1.2904207096671507,12.95221684992391,10.037204729351243,7.40956743692845,1.9230769230769247,9.561459270287822,FE2J3J
CTS Eventim,EVD.DE,100,59.270976000000005,1.6494286676177645,15.720247292705281,9.53072272922824,5.59965576896921,1.9230769230769247,9.236232754129013,FG2351
Carl Zeiss Meditec,AFX.DE,139,31.66408,2.4889450595294766,31.574695996220314,12.685975479984826,3.11219171120098,1.980198019801982,7.746074183902267,FE1P9H
Deutsche Post (DHL),DHL.DE,306,54.967828499999996,0.7036070589524469,8.66748538192664,12.318644720294698,10.5414922619413,1.960784313725492,7.417068367394496,SD6U7P
Hapag-Lloyd,HLAG.DE,68,140.1177495,2.0900337203573596,28.30851740164439,13.544526638931034,3.47017339748239,1.9950124688279212,7.252779416225258,SD6D4S
Continental,CON.DE,218,71.842248,1.492686730695516,20.283466074168498,13.58856192465611,4.67866744269578,1.960784313725492,6.983784809049115,FG0RR0
ENI Spa,ENI.MI,149,23.183788,1.5674692139555464,21.32813240010649,13.606731290297201,4.44131133891294,1.960784313725492,6.961618793337722,FE5S7R
Airbus,AIR.PA,356,199.688197,1.0551666171009646,14.273649834196256,13.527389516371015,6.49565914557324,1.9672131147540857,6.854002686475457,FC1T10
Cancom,COK.DE,103,22.457477,2.367741421713997,37.85479998487809,15.987725533591068,2.59804581052,1.972157772621809,6.151500681078719,FE2Q51
Fresenius,FRE.DE,220,43.845732500000004,0.7154722483144739,10.812300832241753,15.112117706470968,8.56590885397797,1.960784313725492,6.128670066612476,FG2719
Elmos Semiconductor,ELG.DE,114,141.313398,2.372470176278324,37.99938913081688,16.016803714020227,2.3781439333743,1.880341880341871,5.642075556827752,FE5H6E
Galderma,GALD.SW,40,164.5893465,1.363944489017838,27.49910274417427,20.161453025097877,3.84057255296208,1.7977528089887655,5.2383277682857985,FA7N33
Fraport,FRA.DE,112,62.765707,1.2749971487597607,23.567794751360008,18.48458623949498,4.05935247989388,1.9480519480519498,5.175662837675561,FG0UFX
ABB,ABBN.SW,50,78.56198649999999,1.2015294023549004,21.820084068266294,18.160258105628287,4.16468164772481,1.52284263959391,5.003987451189213,FG0L2Q
Evonik Industries,EVK.DE,64,18.6900635,1.0362203997998787,21.336430986443684,20.590630130968577,4.62935340762425,1.985111662531019,4.797030438863331,FG04QL
Banco Santander,SAN.MC,95,12.937101000000002,1.1737762188012142,24.1478210613027,20.572763934478953,4.08491758059191,1.8987341772151913,4.794779111861776,FC7JR1
Ferrari,RACE.MI,181,354.552704,1.2853208335294237,26.78303900341993,20.83762925547165,3.68467552873676,1.9791666666666616,4.735990221881403,FE3PPP
DWS Group & GmbH Co KgaA Ord Shs,DWS.DE,113,76.50342900000001,0.933627245787848,18.794519654798734,20.130646079141407,5.01112291701371,1.986754966887419,4.678520887315877,FG09LX
GEA Group,G1A.DE,90,64.987724,1.087777460664398,22.991446815401638,21.136167687606626,4.17709560323825,1.9480519480519498,4.543750448242926,FG3TLT
Fresenius Medical Care,FME.DE,120,39.2594345,0.9138538244856769,25.027674558073432,27.386956083659417,3.88144543979612,1.980198019801982,3.547073759690174,FA1YU5
Befesa,BFSA.DE,40,37.1210835,1.4362082088301824,40.45986561787724,28.171309263600804,2.43750693742807,1.9736842105263175,3.5007674726147116,SX3AZG
Andritz,ANDR.VI,43,85.138295,0.8889889722145663,29.060759321055237,32.68967358353365,3.40322584180504,1.9999999999999927,3.025430243320314,FE3A08
Eckert & Ziegler,EUZ.DE,121,12.924042055000001,1.191424974173253,49.29007440466736,41.37069095674317,1.90752366282098,1.492537313432837,2.272671330711355,FA9S1W
