Basiswert,Yahoo,Produkte,Kurs EUR,Tagesvola %,engster KO %,in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
CrowdStrike Holdings,CRWD,415,184.1589695379055,6.069245502576036,5.26864703352811,0.8680892923662223,17.4601334977276,1.8691588785046744,105.96983670546042,FG36NQ
Cisco,CSCO,115,94.32421005077016,2.2256693281648463,2.3615364964990455,1.0610455320630343,36.7538522478107,1.209677419354831,81.80192163985485,FG0LSL
Coinbase Global,COIN,408,159.8204995267189,5.2724760521608465,5.7277388025711415,1.0863470494519767,15.0412588346829,1.9417475728155356,79.30467700021835,FG60A6
Broadcom,AVGO,422,309.0127755786938,2.219206342922774,2.9054964203777867,1.3092502324732653,33.709756010378,0.9708737864077678,74.80890435660996,FG617R
Applied Materials,AMAT,278,392.4998304793047,2.924821691892233,3.918682402833059,1.339802153989716,24.6396705692153,1.7045454545454561,72.06664296191954,FG60JX
Advanced Micro Devices (AMD),AMD,1759,413.23060063677826,2.9216128088803583,5.055082993079514,1.7302371408402881,23.4797596291691,0.9216589861751161,68.59876648201238,FG60J4
Dell Technologies,DELL,165,452.65561827725674,5.2656938401688915,9.017211252534814,1.7124450312222474,11.5522030689744,1.3953488372092933,60.83036454067866,FG6W47
Baidu ADS,BIDU,177,85.14317700714224,3.4007786212954416,5.515064214637631,1.6217063292807943,15.788078259986,1.960784313725492,53.69175901789972,FG32DB
Amazon,AMZN,1363,222.92763015231048,1.676786980222741,2.8532583925268598,1.701622463783586,31.783606100533,1.42857142857143,53.294336893901814,FG2QBS
Carvana Co,CVNA,83,63.82560278805611,3.812858825525371,7.609967802693783,1.9958692810099548,13.1681678419003,1.9230769230769247,50.20836497198894,FE5HY9
Booking Holdings,BKNG,81,166.89779967300578,1.7943022399700124,3.197149367931271,1.7818343513770032,26.8961134057481,1.6949152542372898,48.25975653042129,FG2JBT
Chevron,CVX,102,179.8755584717322,1.39422680679087,2.5717827137628078,1.8445942232902195,34.5390557311798,1.960784313725492,48.15527738165471,FG6WU0
Alibaba Group Holding ADR,BABA,420,97.86482660700456,2.7588421818235225,5.1457162775469545,1.865172394220017,17.4253828507207,1.8518518518518534,48.073881242992485,FG1FPE
Carnival,CCL,153,20.35146932277773,2.0735233935408908,3.87493172696452,1.868766824157899,22.772914790631,1.1494252873563229,47.220171557486736,FA0TTF
Apple,AAPL,1129,275.9339245761983,1.3544929062591318,2.2354605656235127,1.6504040407250684,32.595695715386,1.42857142857143,44.150638621071515,FG6U7U
Arista Networks,ANET,141,167.45103691592806,3.0831445998590197,7.208304844655446,2.3379717075174007,14.1566546963627,1.5625000000000013,43.64701347915948,FG22YH
CoreWeave,CRWV,67,77.4070527493331,5.767029676192876,12.739078018082317,2.2089496210971578,7.46890280434408,0.9708737864077678,43.07338412125251,FG2ZHU
Cameco,CCJ,100,87.10619869202306,2.8816012942020652,6.04912832102359,2.0992245989043514,14.5093695672666,1.7543859649122628,41.81021812309149,FG6X2M
