Basiswert,Yahoo,Hebel,Vola naiv %,Vola robust %,KO in Sigma (robust),Sprungtage/Jahr,groesster Tag %,Sleeve robust %,WKN
Applied Materials,AMAT,22.5023537990529,2.924821691892233,5.038187433806382,0.8591680025488603,12.047808764940239,14.966198872657133,113.37107614145363,FG60JY
Advanced Micro Devices (AMD),AMD,23.4797596291691,2.9216128088803583,4.553126009707723,1.1026627329078356,15.0597609561753,23.708027557556832,106.90630426925519,FG60J4
Micron Technology,MU,19.6371013204594,3.4052502206678192,5.3185086964139785,1.0623306598161757,28.111553784860558,19.291611835261314,104.44009414522573,FG6YHX
Sandisk /DE,SNDK,11.004128977679,5.651198916610873,8.738225592912059,1.1492377613541236,64.25498007968127,27.564952572933255,96.15656146045986,FG6173
NVIDIA,NVDA,32.9931337243691,2.868554504549857,2.7968649525495892,0.9967654573581419,1.00398406374502,8.73795275466771,92.27733938846984,FG6YHG
Qualcomm,QCOM,29.3656493346428,1.6786117230103663,3.0342459200651355,1.2442230457513916,12.047808764940239,15.115385789137626,89.10260168370337,FG6YJ8
Microsoft,MSFT,42.6294917403082,1.4734149413425215,2.0734670988762973,0.941951470618853,2.00796812749004,15.506733300956487,88.39084856534792,FG6R9S
Robinhood Markets,HOOD,18.8539723082305,5.805884076768149,4.6813159100644866,0.9009665861208992,25.099601593625497,16.571645678046675,88.2614005344347,FG6149
Nebius Group,NBIS,13.7226861033878,9.098338432350676,6.240151717396284,1.346560809749125,49.19521912350597,49.42242408478228,85.6316432553455,FG6WNJ
ServiceNow,NOW,21.6868687543451,3.928209949985998,3.762480727489571,1.1168300850739168,8.03187250996016,17.74522263479331,81.5964257278192,FG6RW4
Broadcom,AVGO,33.709756010378,2.219206342922774,2.376458827516483,1.2226218769210597,5.0199203187251,12.586859324621802,80.10984724428961,FG617R
Intel,INTC,18.1146491122112,3.0070347941903544,4.421729011395215,1.3247393679569794,24.095617529880478,23.59988383395475,80.09806951070884,FG60FL
Lumentum Holdings,LITE,11.0777684921655,6.077497264556279,7.134926601659817,1.1909972643458957,54.21513944223108,23.566574243899694,79.0390651017806,FG317G
Palantir Technologies,PLTR,22.7358603814418,3.3992006486471755,3.3210928594042057,1.169049174300631,6.0239043824701195,29.454836201182122,75.50790356521735,FG60AQ
Strategy,MSTR,13.8058113168077,6.684132492396516,5.2398784610836335,1.0426350082920552,19.07569721115538,26.114585820992108,72.34077335672535,FG60LB
Coinbase Global,COIN,15.0412588346829,5.272476052160847,4.791765969768591,1.1932572353355024,14.055776892430279,16.464676156554383,72.07419222651468,FG60A6
Tesla,TSLA,26.0851004670195,3.1996694586484304,2.6654812150170946,1.2002446491921888,2.00796812749004,14.523677416617442,69.52934528667411,FG6QH4
Texas Instruments,TXN,22.5698680421319,1.7403655747076772,2.9812856415496087,1.5174111903316836,5.0199203187251,19.432107783060836,67.28722352567722,FE4GYA
UnitedHealth Group,UNH,41.0542083967827,1.2128445737299174,1.6160407651686397,1.4790988540476064,3.0119521912350598,19.605278002940317,66.3452743509295,FG6VEU
Taiwan Semiconductor Manufacturing Co (TSMC),TSM,35.3911471648344,1.6327166744685433,1.8723486038176598,1.4150677775938207,0.0,7.920619502695914,66.26456498158302,FG61G6
Newmont,NEM,20.8513774233677,3.051917264761068,3.1334806402334126,1.3400757246914237,3.0119521912350598,11.486647597888776,65.33738747832275,FG6WRP
Meta Platforms (Facebook),META,26.0407242079958,2.065017042958392,2.488479726804647,1.3663886217729622,4.01593625498008,11.334763146610161,64.80181426290855,FG6YU3
Booking Holdings,BKNG,26.8961134057481,1.7943022399700124,2.388670522788019,1.3301833226146802,2.00796812749004,9.324223091256856,64.24595326987415,FG2JBT
Carnival,CCL,22.772914790631,2.0735233935408908,2.8016756741932687,1.3789661354386291,9.03585657370518,11.230158087407727,63.80232139938696,FA0TTF
Norwegian Cruise Line Holdings,NCLH,21.0126540820408,2.3102628380288115,2.9957919254057055,1.5684708636004547,7.027888446215139,15.284036713278892,62.94953943032107,FG36WD
Salesforce,CRM,20.1802334769724,5.398526791211757,3.1072614935559693,1.3633393818547082,4.01593625498008,22.58049267441564,62.705262413965436,FG36HD
Cisco,CSCO,36.7538522478107,2.2256693281648463,1.6809838251679785,1.3995628246859964,3.0119521912350598,13.409242823617351,61.78263114118353,FG0LSL
Teradyne,TER,10.8112897083955,4.075078775861421,5.713073263376521,1.5796953421256443,23.09163346613546,20.473747443481827,61.765690175652075,FG6VE3
Chevron,CVX,34.5390557311798,1.39422680679087,1.784193342953537,1.4353113221582148,0.0,5.099430736546373,61.62435330747221,FG6WU0
IBM,IBM,31.0340864192632,1.586348021388691,1.9813919071336092,1.5083296037051293,5.0199203187251,25.207594284781155,61.49068767641316,FG6EBJ
Western Digital,WDC,9.43496872101139,4.105892262048653,6.397248921823699,1.6782572220603742,30.1195219123506,16.766020428649497,60.35784347793044,FG2257
Hecla Mining Co,HL,15.6452131888869,4.618919977533304,3.8476036494554275,1.4373695269724103,23.09163346613546,14.437687238301189,60.196579362069436,FG38NK
Amazon,AMZN,31.783606100533,1.676786980222741,1.883515389442303,1.5027892850651308,2.00796812749004,15.320588778032107,59.864911222326164,FG2QBS
XPeng,XPEV,18.4924148067995,2.8227888328112605,3.19860520944954,1.562101458042899,8.03187250996016,16.146301636551065,59.14993433633068,FG6X0E
Dell Technologies,DELL,11.5522030689744,5.265693840168892,5.044546454318391,1.7829449966549098,17.067729083665338,32.75824629173631,58.27562503116085,FG6W47
Arista Networks,ANET,14.1566546963627,3.08314459985902,4.081734005286129,1.7587587484982974,11.04382470119522,13.605923802150999,57.78369887523722,FG22YH
Shopify,SHOP,18.7347487626078,2.6599837284187773,3.0516514061797784,1.43640781528124,6.0239043824701195,16.98296992954351,57.17192240583696,FG6ZQM
Lam Research,LRCX,10.4419475622832,3.1954569850143333,5.336482825172182,1.9390813805050706,13.05179282868526,17.97899505442311,55.72327382747283,FG2TV2
Moderna,MRNA,11.1294996008131,40.3488003606167,4.969038910801791,1.5472310293645368,20.0796812749004,176.96951623021624,55.3029165741933,FG6TVW
