Basiswert,Yahoo,Produkte,Kurs EUR,Vola typisch %,Vola std %,std/MAD,Sprungtage/Jahr,groesster Tag %,engster KO %,KO in Sigma,Hebel,Spread %,Sleeve-Tagesvola %,WKN
NVIDIA,NVDA,1507,201.55226975383027,2.7968649525495892,2.5717031897240528,0.91949494643269,1.984251968503937,8.73795275466771,2.4853958086289882,0.8886363306041396,59.9874322589086,0.0,167.77674687838407,FG6Z58
Western Digital,WDC,191,406.9195347736271,6.397248921823699,6.37880881095187,0.9971174936137124,31.748031496062993,16.094370134809054,4.957940467252594,0.7750113412562358,20.169665339974173,1.7391304347826104,129.03036984969464,FG4CRT
Advanced Micro Devices (AMD),AMD,1781,414.09142254733223,4.553126009707723,4.576760258411508,1.0051907741304313,15.874015748031496,18.614536695655758,5.180284040687609,1.137742296093436,23.4797596291691,1.746724890829696,106.90630426925519,FG60J4
Intel,INTC,482,84.58420726458942,4.421729011395215,4.910503947412439,1.1105393240421573,31.748031496062993,23.59988383395475,6.60218631269632,1.4931232320392906,22.0313291337784,1.6393442622950833,97.41656719042456,FG60FN
Circle Internet Group,CRCL,90,88.98677108433736,6.998695853545094,5.73071564656755,0.8188262165535789,35.71653543307087,20.112129930083565,9.238283576312988,1.3200007215106313,10.824521587148567,1.111111111111112,75.75753434858603,FG4CGH
Netflix,NFLX,489,67.97464021346187,1.9675916980900623,2.4095823414375457,1.2246353467421736,1.984251968503937,9.722611808071646,2.5620852875207034,1.302142761634802,33.8971105235976,0.0,66.69567325547192,FG6EJ1
Dell Technologies,DELL,170,455.12881669535284,5.044546454318391,4.9486250759983506,0.980985133314031,25.79527559055118,32.75824629173631,9.442703124553713,1.8718636472205092,11.5522030689744,1.75824175824176,58.27562503116085,FG6W47
Rocket Lab USA,RKLB,64,55.517254260630054,4.951964933058385,5.4581866987478955,1.1022264439536054,43.653543307086615,34.21990170916687,8.102907559023375,1.636301482050063,11.3021980389424,0.0,55.96808835532401,FG2TW2
Lumentum Holdings,LITE,87,765.8346087966947,7.134926601659817,6.112929091348277,0.856761314114459,61.51181102362205,16.518032755444256,9.957363441532541,1.395580360871005,7.66432603068092,0.0,54.684403680099095,FG3KF8
Alphabet  A,GOOGL,372,292.2882685025818,1.741061545754653,2.298000553037135,1.3198847327600243,1.984251968503937,9.961703465838955,2.6932165804955495,1.5468818934417339,30.775610608725,0.0,53.58223217797005,FG2880
Barrick Mining,B,247,38.31686058519793,3.305257246465592,3.0132114066700035,0.9116420242001189,1.984251968503937,8.972870011695289,4.538395665888763,1.3730839470185874,16.1110826754686,0.0,53.25127276149886,FG3R5M
